oekotest;123energie;123energie - Eine Marke der Pfalzwerke AG
oekotest;Bürgerinitiative Umweltschutz - Ökostrom Pool;
oekotest;EG Ohlstadt;Elektrizitätsgenossenschaft Ohlstadt eG
oekotest;EMB Energieversorgung;EMB - Energieversorgung Miltenberg-Bürgstadt GmbH & Co. KG
oekotest;Enverde;
oekotest;EW Goldbach-Hösbach;Elektrizitätswerk Goldbach-Hösbach GmbH & Co. KG
oekotest;EWE;EWE VERTRIEB GmbH
oekotest;ExtraEnergie/prioenergie;ExtraEnergie GmbH
oekotest;EZV Untermain;EZV Energie- und Service GmbH & Co. KG Untermain
oekotest;Firstcon/Lünestrom;LÜNESTROM - eine Marke der FIRSTCON GmbH
oekotest;Gemeindewerke Peißenberg;Gemeindewerke Peißenberg KU
oekotest;Greenline;Greenline - alternative energien GmbH
oekotest;In(n) Energie;
oekotest;LichtBlick;LichtBlick SE
oekotest;Mark-E AG;Mark-E Aktiengesellschaft
oekotest;MEGA Monheim;MEGA Monheimer Elektrizitäts- und Gasversorgung GmbH
oekotest;Naturstrom;
oekotest;NEW Niederrhein;NEW AG
oekotest;NEW;NEW AG
oekotest;Prokon;PROKON Regenerative Energien eG
oekotest;Stadtwerk am See/Bodensee Energie;Bodensee Energie - eine Marke der Stadtwerk am See GmbH & Co. KG
oekotest;Stadtwerke Bamberg;Stadtwerke Bamberg Energie- und Wasserversorgungs GmbH
oekotest;Stadtwerke Bayreuth;Stadtwerke Bayreuth Energie und Wasser GmbH
oekotest;Stadtwerke Duisburg/R(h)einpower;R(H)EINPOWER - eine Marke der Stadtwerke Duisburg AG
oekotest;Stadtwerke Landsberg;Stadtwerke Landsberg KU
oekotest;Stadtwerke Neustadt a.d. Aisch;Stadtwerke Neustadt an der Aisch GmbH
oekotest;Stadtwerke Trostberg;Stadtwerke Trostberg Stromversorgung GmbH
oekotest;Stadtwerke Weimar;Stadtwerke Weimar Stadtversorgungs-GmbH
oekotest;Stromversorgung Greding/Raiffeisenbank Greding-Thalmässing;Stromversorgung Greding eG
oekotest;Vattenfall Europe;Vattenfall Europe Sales GmbH
okpower;ASEW Energie und Umwelt Service GmbH & Co. KG;
okpower;AVIA AG;AVIA AG
okpower;CrämerSchmäling GmbH;Crämer Schmäling GmbH
okpower;DB Energie GmbH;DB Energie
okpower;Energy2day GmbH;voltera - eine Marke der Energy2day GmbH
okpower;energy4u GmbH & Co. KG;energy4u GmbH & Co. KG
okpower;ENTEGA Plus GmbH;ENTEGA Energie GmbH
okpower;EVH GmbH;EVH GmbH
okpower;EWS Elektrizitätswerke Schönau eG;EWS - Elektrizitätswerke Schönau Vertriebs GmbH
okpower;Firstcon GmbH;LÜNESTROM - eine Marke der FIRSTCON GmbH
okpower;Georg Oest Mineralölwerk GmbH & Co. KG;Georg Oest Mineralölwerk GmbH & Co KG
okpower;Green Planet Energy eG;Greenpeace Energy eG
okpower;HKD Handelsgesellschaft für Kirche und Diakonie mbH;
okpower;J. KNITTEL Söhne Handelsgesell. mbH;normenergie - eine Marke der GFM Gesellschaft für Messdienstleistungen mbH
okpower;KESLAR GmbH Energiehandel;KESLAR GmbH
okpower;KSE Energie GmbH;
okpower;lLZHÖFERS Nachf. lnh. Walch KG;ILZHÖFERS Nachf. Inh. Walch KG
okpower;Mark-E AG;Mark-E Aktiengesellschaft
okpower;Stadtwerke Aachen AG;STAWAG Stadtwerke Aachen Aktiengesellschaft
okpower;Stadtwerke Greifswald;Stromversorgung Greifswald GmbH
stromauskunft;123energie - eine Marke der Pfalzwerke AG;123energie - Eine Marke der Pfalzwerke AG
stromauskunft;AggerEnergie GmbH;Agger Energie GmbH
stromauskunft;e-rp GmbH;e-rp GmbH
stromauskunft;E-Werk Wanfried von Scharfenberg GmbH & Co. KG;Elektrizitätswerk Wanfried von Scharfenberg KG
stromauskunft;Elektrizitätsgenossenschaft Engelsberg e.G.;-1
stromauskunft;Elektrizitätswerke Schönau Vertriebs GmbH;EWS - Elektrizitätswerke Schönau Vertriebs GmbH
stromauskunft;EMB Energie Brandenburg GmbH;EMB Energie Mark Brandenburg GmbH
stromauskunft;enercity AG;enercity AG
stromauskunft;ENERGIERIED GmbH & Co. KG;ENERGIERIED GmbH & Co. KG
stromauskunft;Energieversorgung Ottobrunn GmbH;Energieversorgung Ottobrunn GmbH
stromauskunft;Energieversorgung Werther GmbH;-1
stromauskunft;enerSwitch - eine Marke der EWV Energie- und Wasser-Versorgung GmbH Stolberg;enerSwitch - eine Marke der EWV Energie- und Wasser-Versorgung GmbH Stolberg
stromauskunft;ENTEGA Plus GmbH;ENTEGA Energie GmbH
stromauskunft;envitra - eine Marke der DEG Deutsche Energie GmbH;
stromauskunft;EVH GmbH;EVH GmbH
stromauskunft;EVI Energieversorgung Ihmert GmbH & Co KG;EVI Energieversorgung Ihmert GmbH & Co KG
